L,f
4351.1321686659,2.075029E-18
4353.13590113671,4.052359E-17
4355.13963360751,-1.442810E-17
4357.14336607832,1.660041E-17
4359.14709854913,5.719153E-17
4361.15083101993,8.212151E-17
4363.15456349074,4.517782E-17
4365.15829596155,-1.388062E-17
4367.16202843236,2.603843E-17
4369.16576090316,1.639596E-17
4371.16949337397,3.863292E-17
4373.17322584478,1.404040E-17
4375.17695831558,2.242444E-17
4377.18069078639,2.258569E-17
4379.1844232572,4.509525E-18
4381.188155728,3.054814E-18
4383.19188819881,6.748615E-18
4385.19562066962,3.555830E-17
4387.19935314042,1.329745E-17
4389.20308561123,4.784198E-17
4391.20681808204,2.213675E-17
4393.21055055284,2.455035E-17
4395.21428302365,2.734364E-17
4397.21801549446,6.582798E-18
4399.22174796526,-8.735023E-18
4401.22548043607,1.431403E-17
4403.22921290688,4.998555E-17
4405.23294537768,2.523135E-17
4407.23667784849,3.850871E-17
4409.2404103193,5.008310E-17
4411.24414279011,1.430412E-17
4413.24787526091,-1.098497E-17
4415.25160773172,3.050631E-17
4417.25534020253,1.519478E-17
4419.25907267333,4.008356E-17
4421.26280514414,5.535326E-17
4423.26653761495,2.187898E-17
4425.27027008575,2.973877E-17
4427.27400255656,3.385328E-17
4429.27773502736,2.231784E-17
4431.28146749817,4.203358E-17
4433.28519996898,6.893889E-17
4435.28893243979,1.052685E-16
4437.29266491059,4.984885E-17
4439.2963973814,9.749462E-17
4441.30012985221,8.144518E-17
4443.30386232301,4.277169E-17
4445.30759479382,2.978396E-18
4447.31132726463,6.120082E-18
4449.31505973544,6.044184E-18
4451.31879220624,4.682905E-17
4453.32252467705,-4.326085E-18
4455.32625714785,3.741718E-17
4457.32998961866,5.009664E-17
4459.33372208947,2.208160E-18
4461.33745456027,3.322291E-17
4463.34118703108,5.428905E-17
4465.34491950189,6.619086E-18
4467.34865197269,2.407628E-17
4469.3523844435,1.584637E-17
4471.35611691431,5.570389E-18
4473.35984938511,2.104303E-17
4475.36358185592,3.038679E-17
4477.36731432673,1.507550E-17
4479.37104679754,3.522492E-17
4481.37477926834,8.046459E-18
4483.37851173915,-1.890019E-17
4485.38224420996,-2.330897E-17
4487.38597668076,2.886859E-17
4489.38970915157,1.438991E-17
4491.39344162238,-2.013610E-18
4493.39717409318,6.603713E-18
4495.40090656399,1.979254E-17
4497.4046390348,7.155683E-19
4499.4083715056,9.159014E-18
4501.41210397641,7.571786E-18
4503.41583644722,1.893582E-17
4505.41956891802,4.323169E-17
4507.42330138883,4.018441E-17
4509.42703385964,-9.220274E-18
4511.43076633044,8.582363E-18
4513.43449880125,2.492604E-17
4515.43823127206,4.916050E-17
4517.44196374287,1.219460E-17
4519.44569621367,8.972973E-18
4521.44942868448,3.435041E-17
4523.45316115529,2.861362E-17
4525.45689362609,8.058045E-18
4527.4606260969,-2.776705E-17
4529.46435856771,-8.897505E-19
4531.46809103851,1.077905E-17
4533.47182350932,4.842939E-17
4535.47555598013,3.397364E-17
4537.47928845093,4.130069E-17
4539.48302092174,4.988552E-17
4541.48675339255,6.376189E-17
4543.49048586335,9.535193E-18
4545.49421833416,1.336067E-17
4547.49795080497,1.398131E-17
4549.50168327577,1.564726E-17
4551.50541574658,2.018901E-17
4553.50914821739,5.916290E-17
4555.51288068819,4.861624E-17
4557.516613159,1.942802E-17
4559.52034562981,4.434302E-17
4561.52407810061,1.798396E-17
4563.52781057142,3.810831E-18
4565.53154304223,3.955759E-17
4567.53527551304,9.476267E-18
4569.53900798384,-1.256687E-17
4571.54274045465,9.338599E-18
4573.54647292546,1.452067E-17
4575.55020539626,1.544964E-17
4577.55393786707,1.357215E-18
4579.55767033788,4.954393E-18
4581.56140280868,2.160329E-17
4583.56513527949,-3.361688E-19
4585.5688677503,-3.762955E-18
4587.5726002211,9.539269E-18
4589.57633269191,4.907022E-18
4591.58006516272,3.149882E-18
4593.58379763352,3.971042E-17
4595.58753010433,3.007767E-17
4597.59126257514,-4.922290E-18
4599.59499504594,1.058161E-17
4601.59872751675,-1.186898E-17
4603.60245998756,4.564212E-17
4605.60619245836,5.359308E-17
4607.60992492917,1.289378E-17
4609.61365739998,3.022998E-17
4611.61738987079,1.648909E-17
4613.62112234159,1.351928E-17
4615.6248548124,3.107933E-17
4617.62858728321,1.522205E-17
4619.63231975401,-3.472295E-18
4621.63605222482,1.913521E-17
4623.63978469562,1.609757E-17
4625.64351716643,8.518153E-18
4627.64724963724,-9.196216E-18
4629.65098210805,1.081530E-17
4631.65471457885,1.837659E-17
4633.65844704966,-2.697996E-18
4635.66217952047,4.579741E-17
4637.66591199127,1.608276E-17
4639.66964446208,1.366170E-17
4641.67337693289,1.778079E-17
4643.67710940369,8.280947E-19
4645.6808418745,1.535887E-17
4647.68457434531,3.058094E-17
4649.68830681611,3.490367E-17
4651.69203928692,1.711740E-17
4653.69577175773,3.847320E-18
4655.69950422854,4.503625E-18
4657.70323669934,1.484773E-17
4659.70696917015,2.410358E-17
4661.71070164095,2.749428E-17
4663.71443411176,6.178617E-18
4665.71816658257,1.155406E-18
4667.72189905337,3.027083E-17
4669.72563152418,3.921487E-17
4671.72936399499,1.415087E-17
4673.7330964658,6.004880E-19
4675.7368289366,-5.853583E-18
4677.74056140741,4.213512E-18
4679.74429387822,1.278561E-17
4681.74802634902,1.183677E-17
4683.75175881983,6.232870E-18
4685.75549129064,3.022041E-17
4687.75922376144,4.173419E-17
4689.76295623225,6.039310E-17
4691.76668870306,1.772594E-17
4693.77042117386,7.156858E-18
4695.77415364467,1.106060E-17
4697.77788611548,1.552550E-17
4699.78161858628,1.537195E-17
4701.78535105709,1.807677E-17
4703.7890835279,3.245496E-18
4705.7928159987,-8.248473E-18
4707.79654846951,3.162731E-18
4709.80028094032,5.947860E-19
4711.80401341112,3.757519E-18
4713.80774588193,1.108872E-17
4715.81147835274,1.474952E-17
4717.81521082354,1.680975E-17
4719.81894329435,5.090422E-18
4721.82267576516,2.289342E-17
4723.82640823597,1.774133E-17
4725.83014070677,1.241057E-17
4727.83387317758,2.990048E-17
4729.83760564839,-1.022505E-18
4731.84133811919,-8.954884E-18
4733.84507059,9.070408E-18
4735.84880306081,1.912867E-17
4737.85253553161,8.544453E-18
4739.85626800242,1.465041E-17
4741.86000047323,1.108901E-17
4743.86373294403,4.180234E-18
4745.86746541484,2.259046E-17
4747.87119788565,7.658500E-18
4749.87493035645,2.951375E-17
4751.87866282726,2.691119E-17
4753.88239529807,2.315524E-17
4755.88612776887,2.414060E-17
4757.88986023968,1.371579E-17
4759.89359271049,6.350531E-18
4761.8973251813,4.554875E-18
4763.9010576521,1.052108E-17
4765.90479012291,2.004815E-17
4767.90852259371,2.403037E-19
4769.91225506452,1.727811E-17
4771.91598753533,4.179642E-17
4773.91972000614,2.639109E-17
4775.92345247694,9.556407E-18
4777.92718494775,1.886844E-17
4779.93091741856,3.215063E-17
4781.93464988936,1.299769E-17
4783.93838236017,5.748356E-18
4785.94211483098,9.014748E-18
4787.94584730178,3.412818E-18
4789.94957977259,7.370502E-18
4791.9533122434,3.241988E-17
4793.9570447142,3.944961E-17
4795.96077718501,2.143897E-17
4797.96450965582,2.080659E-17
4799.96824212662,2.600895E-17
4801.97197459743,1.005027E-17
4803.97570706824,1.425518E-17
4805.97943953904,1.180052E-17
4807.98317200985,2.292955E-17
4809.98690448066,1.425954E-17
4811.99063695147,8.982267E-18
4813.99436942227,1.120147E-19
4815.99810189308,8.763017E-18
4818.00183436389,8.652267E-18
4820.00556683469,1.552848E-17
4822.0092993055,2.650853E-17
4824.01303177631,2.575325E-17
4826.01676424711,7.413910E-17
4828.02049671792,1.204913E-16
4830.02422918873,1.985912E-16
4832.02796165953,2.144896E-16
4834.03169413034,2.122277E-16
4836.03542660115,1.730607E-16
4838.03915907195,9.113658E-17
4840.04289154276,1.394262E-17
4842.04662401357,2.251515E-17
4844.05035648437,9.971561E-18
4846.05408895518,2.287473E-17
4848.05782142599,2.358173E-17
4850.06155389679,3.115049E-17
4852.0652863676,1.675112E-17
4854.06901883841,-5.862301E-18
4856.07275130922,2.970093E-17
4858.07648378002,2.556810E-17
4860.08021625083,1.463366E-17
4862.08394872164,4.493925E-18
4864.08768119244,-1.267219E-18
4866.09141366325,8.848099E-19
4868.09514613406,2.105661E-17
4870.09887860486,3.305983E-17
4872.10261107567,3.026063E-17
4874.10634354648,2.593653E-17
